IndividualId	FamilyId	Gender	Mother	Father
11	1	m	.	.
12	1	f	.	.
13	1	m	12	11
14	1	f	.	.
18	1	m	14	13
19	1	f	.	.
20	1	f	.	.
21	1	f	19	18
22	1	m	.	.
23	1	f	21	22
24	1	f	20	18
25	1	m	20	18
26	1	f	15	13
27	1	m	.	.
28	1	m	26	27
29	1	f	.	.
30	1	.	29	28
31	1	f	.	.
32	1	.	31	28
33	1	f	31	28
34	1	m	31	28
35	1	m	31	28
36	1	f	31	28
37	1	f	31	28
38	1	f	.	.
39	1	m	38	28
40	1	.	38	28
41	1	m	38	28
42	1	f	26	27
43	1	f	26	27
44	1	f	26	27
45	1	m	15	13
46	1	f	.	.
47	1	f	.	.
48	1	f	.	.
49	1	f	.	.
50	1	.	46	45
51	1	f	46	45
52	1	m	.	.
53	1	f	51	52
54	1	f	51	52
55	1	f	51	52
56	1	f	.	.
57	1	m	46	45
58	1	f	56	57
59	1	f	.	.
60	1	f	59	57
61	1	f	59	57
62	1	f	59	57
63	1	f	.	.
64	1	m	46	45
65	1	f	.	.
66	1	m	63	64
67	1	f	63	64
68	1	m	63	64
69	1	f	65	64
70	1	f	65	64
71	1	m	65	64
72	1	m	46	45
73	1	m	46	45
74	1	f	.	.
75	1	f	74	73
76	1	m	74	73
77	1	f	74	73
78	1	.	74	73
79	1	f	74	73
81	1	m	47	45
82	1	f	48	45
83	1	m	49	45
84	1	f	49	45
85	1	m	49	45
16	1	f	.	.
86	1	f	16	13
101	1	f	16	13
102	1	m	16	13
109	1	m	16	13
87	1	m	.	.
88	1	m	86	87
89	1	f	.	.
90	1	f	89	88
91	1	m	89	88
92	1	f	.	.
93	1	f	92	88
94	1	f	92	88
95	1	f	92	88
96	1	.	92	88
97	1	f	86	87
98	1	f	86	87
99	1	m	.	.
100	1	.	98	99
103	1	f	.	.
104	1	f	.	.
105	1	m	103	102
106	1	f	103	102
107	1	f	104	102
108	1	m	104	102
110	1	f	.	.
111	1	f	.	.
112	1	f	.	.
113	1	f	.	.
114	1	m	110	109
115	1	m	110	109
116	1	m	111	109
117	1	m	111	109
118	1	f	111	109
119	1	f	112	109
120	1	m	113	109
80	1	.	90	71
121	1	f	17	13
122	1	m	.	.
123	1	f	121	122
124	1	f	17	13
125	1	m	132	133
126	1	m	124	125
127	1	m	124	125
128	1	f	124	125
129	1	f	124	125
130	1	m	124	125
131	1	.	124	125
132	1	f	12	11
133	1	m	.	.
134	1	m	12	11
135	1	m	12	11
136	1	m	12	11
137	1	m	132	133
138	1	f	.	.
139	1	f	.	.
140	1	f	.	.
141	1	m	138	137
142	1	m	138	137
143	1	f	139	137
144	1	m	140	137
145	1	m	140	137
146	1	f	.	.
147	1	.	146	145
148	1	f	140	137
149	1	m	.	.
150	1	.	148	149
151	1	m	140	137
152	1	f	.	.
153	1	.	152	151
154	1	.	140	137
155	1	f	.	.
156	1	.	155	154
157	1	f	140	137
158	1	m	.	.
159	1	.	157	158
160	1	f	132	133
161	1	m	.	.
162	1	f	160	161
163	1	m	.	.
164	1	m	160	161
165	1	f	.	.
166	1	.	165	164
167	1	f	165	164
168	1	.	160	161
169	1	f	160	161
170	1	f	162	163
171	1	m	.	.
172	1	f	170	171		
173	1	f	170	171		
174	1	m	170	171		
175	1	m	170	171		
176	1	f	170	171		
177	1	m	.	.
178	1	m	176	177
179	1	m	176	177
180	1	f	.	.
181	1	.	180	179
182	1	f	162	163
183	1	m	162	163
184	1	f	.	.
185	1	m	184	183
186	1	m	184	183
187	1	f	184	183
188	1	f	184	183
189	1	f	184	183
190	1	.	162	163
191	1	.	162	163
192	1	.	162	163
193	1	f	182	109
194	1	m	182	109
195	1	.	182	109
196	1	f	170	108
197	1	m	170	108
198	1	m	132	133
199	1	f	132	133	
200	1	m	132	133
201	1	f	.	.
202	1	f	.	.
203	1	f	201	200
204	1	m	.	.
205	1	.	203	204
206	1	m	203	204	
207	1	f	203	204
208	1	m	201	200
209	1	f	.	.
210	1	.	209	208
211	1	f	201	200
212	1	m	.	.
213	1	.	211	212
214	1	m	201	200
215	1	f	.	.
216	1	.	215	214
217	1	m	202	200
218	1	f	.	.
219	1	f	218	217
220	1	m	.	.
221	1	.	219	220
222	1	m	218	217
223	1	f	.	.
224	1	.	223	222
225	1	.	223	222
226	1	m	218	217
227	1	f	.	.
228	1	m	227	226	
229	1	m	227	226
230	1	f	227	226
231	1	m	.	.
232	1	.	230	231
233	1	m	227	226
234	1	f	.	.
235	1	.	234	233
236	1	m	227	226
237	1	f	.	.
238	1	.	237	236
239	1	f	227	226
240	1	m	.	.
241	1	.	239	240
242	1	f	227	226	
243	1	m	.	.
244	1	f	242	243
245	1	m	227	226
246	1	f	.	.
247	1	.	246	245
248	1	m	227	226
249	1	f	.	.
250	1	.	249	248
251	1	m	202	200
252	1	f	.	.
253	1	f	252	251
254	1	m	.	.
255	1	m	.	.
256	1	.	253	254
257	1	.	253	255
258	1	f	252	251
259	1	m	.	.
260	1	m	258	259
261	1	f	252	251
262	1	m	.	.
263	1	f	261	262	
264	1	.	261	262
265	1	f	132	133
266	1	m	.	.
267	1	f	132	133
268	1	m	.	.
269	1	m	.	.
270	1	f	265	266
271	1	.	265	266
272	1	.	270	269
273	1	f	270	269
274	1	.	267	268
275	1	f	267	268
276	1	m	.	.
277	1	m	.	.
278	1	f	275	276
279	1	f	278	277
280	1	f	278	277
281	1	m	278	277
282	1	m	12	11
283	1	f	258	259
284	1	f	258	259
285	1	m	258	259
286	1	m	258	259
